Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
East Asia & Pacific,EAS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,8594734187915.81,9739893268511.89,10745728012056,11436986685636.6,12310565407454.8,13503981910628.5,14358036862228.9,16261514589700.1,18174417938741.3,20477896499038.6,21973847629764.9,22642438410638.2,22530618959545.5,22863415146293,23807630755388.1,25984649921714.3,27520793520030.8,27518139023935.4,30396238074547.1,32060244329199.6
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.38136116278435,4.3573917055264,4.45045152766071,4.33365910480071,4.15467252296067,4.31934078133787,4.29600871758493,4.0221735122404,3.91707252442701,3.83436673526621,3.76524549465218,3.76308168868306,..,..,3.52439295809527,4.18566032944332,4.2094435204483,4.69223987963081,4.43557016621479,..
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,8702207399274.63,9758433473126.78,10411317309554.8,11034808224299.4,12331154735962.7,14220141864723.5,14630626964216.5,17078044883355.3,19796911407672.4,21174153362040.6,21411260037373,22089565874969.3,21995286337605.6,22775818467016.9,24329068203247.4,26487849774769.5,27032674446875.7,27148447173104.2,31112165534854.6,30688235798301
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.28915662650607,3.23751394003321,3.03702332617012,3.93616259929868,3.764002591816,8.34208634920956,1.6217301400345,3.05730563962442,5.0214601462073,2.97460779814467,2.58268766141795,2.51087633253706,0.795279630579839,1.27699094497324,1.8003422246862,2.3126034330156,1.7039786323628,1.28073361876588,2.410192998372,5.40874375479067
Europe & Central Asia,ECS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,11831857714938.3,14434171722826.5,16772106469828.7,18209008828855.6,19793052516290.1,21647794096346.8,21531111309986.6,21820863892390.5,22286888188079.1,22650448112210.8,23374933568546.4,23525170741530.6,22379996588641.7,21279596451467.3,20924909503963.9,22426491748503.3,23346747304522.9,22166768631993.3,24711982686822.2,26246382063331.8
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.6947832643022,8.68692212069043,8.34836497581343,7.90672530820129,7.17487068011242,7.14611608682244,9.06627029046385,9.14518062073496,8.80892179317473,9.00968464477746,9.20951925980904,8.89361883625309,8.51118880854883,8.0863731632714,7.47809798390452,6.98221063995037,6.73870662609159,7.28465396930777,7.1202265481906,..
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,13534592292253,15775499878104.7,16780902188907,18167734620079.1,21227695909963.3,23363317725408.3,20544984633327.1,21016244485056.3,23305492283126.4,22453172441445.4,23454504187753,23783815080046.5,20480970346558.5,20408422727022.5,21652739213015.3,23188460071899.6,22907909231787.3,22156584402676.9,25312104726364.4,25329956337827
Europe & Central Asia,ECS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.34864169582755,2.82947796214664,2.60932308197747,3.19288637808747,2.91598261872856,6.05974046339707,1.53607650014279,2.42447361791627,3.8561124468282,2.77333854051586,1.75068195937036,0.624517311086569,0.410040498008468,0.39180380179113,1.95607633363963,2.04061231468161,1.81669040957461,1.20575463363476,3.25328924782037,10.390894275608
Latin America & Caribbean,LCN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2091471298691.86,2293592786248.08,2595428739728.45,3017745778918.46,3555697557927.79,4138242773489.45,4277205863715.31,4791609838773.43,5334750085658.56,5954146272455.16,6271532989335.27,6269862938383.71,5732492411457.21,5326157881370.71,5303656432246.48,5568174212312.89,5683933585085.25,5017542242903.42,5361604347678.6,5782664917202.84
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.40558495194561,8.45194634187127,8.33182521678342,7.24159851582489,7.36184199031844,6.75324833999992,7.77755733482223,..,6.59527868436147,6.4149663797971,6.19545106459454,6.0124288553073,6.53307781493474,7.60090518853713,7.94315453529253,7.95425235296515,8.13940458541186,10.5051943418193,9.3105533154397,6.9651418985028
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,2092028240998.63,2405435175136.4,2902949778310.09,3396739151882.85,3998414040764.94,4643116909844.47,4358132853812.8,5396773607490.71,6137582602219.08,6209205490292.94,6360884125593.49,6482208032334.84,5420470092541.42,5285689128986.34,5866303818641.23,5742577449796.09,5660897574206.23,4809518812031.76,5995774379433.37,6820032324993.66
Latin America & Caribbean,LCN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.73373566167644,4.38032286534608,4.44057565687912,4.25195321977965,4.57808572377153,8.10810810810782,2.50049995050137,3.49128867487526,4.9777356370697,3.78180754679688,2.5286478853837,3.38341272749469,1.86148302863371,1.65038994431641,2.19201010962985,2.32414485367893,2.25212191358027,0.99333702283873,3.8780544241113,7.71367726901419
Middle East & North Africa,MEA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1132750599079.49,1325255151603.52,1534962900122.95,1790778841311.74,2104838576851.97,2499509258187.12,2643079783083.88,2882555473361.05,3019421013223.09,3412979826491.98,3646393734030.41,3701495673043.82,3490367685469.6,3386465387952.06,3284405278523.89,3442159452114.56,3550908966658.83,3331575052931.69,3612452919731.25,4105316396392.87
Middle East & North Africa,MEA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,11.2117856201016,11.3329367112112,10.5767324262882,9.85022145534969,9.53698559791482,9.74974570322318,10.1585300698929,..,10.809449026188,10.5077817008542,10.5548965968663,10.5500618000259,10.0919416451783,10.7549698809634,..,..,..,9.04149823003455,..
